county,fips,name,area_sqmi,land_area_acres,population,housing_units,households,svi,socioeconomic_svi,household_svi,racial_svi,housing_transport_svi,median_household_income,pc_poverty,pc_age_17_and_below,pc_latino,pc_limited_english,pc_born_central_america,median_household_income_relative,pc_age_17_and_below_relative,pc_poverty_relative,pc_latino_relative,pc_limited_english_relative,pc_born_central_america_relative,pounds_13d_2018_2022,pounds_chloropicrin_2018_2022,pounds_13d_per_100_acres_2018_2022,pounds_chloropicrin_per_100_acres_2018_2022,pounds_13d_per_1000_people_2018_2022,pounds_chloropicrin_per_1000_people_2018_2022
Shasta County,06089011702,Census Tract 117.02; Shasta County; California,1.904129966952,1218.64179798,3582,1336,1268,0.705,0.7528,0.9418,0.0871,0.4724,55429,20.9,27.9,13.9,1.9,2.1,0.6031119090365051,2.3057851239669422,0.937219730941704,0.35012594458438284,0.21348314606741572,0.17355371900826447,,,,,,
Shasta County,06089011703,Census Tract 117.03; Shasta County; California,3.701450993236,2368.92595139,2782,1302,1170,0.6351,0.7194,0.5078,0.0741,0.7143,44625,17.5,18.7,16.5,0,0.7,0.485555736902236,1.5454545454545454,0.7847533632286995,0.41561712846347604,0,0.05785123966942148,,,,,,
Shasta County,06089011801,Census Tract 118.01; Shasta County; California,13.485071425277999,8630.435932845001,3057,1136,1072,0.5117,0.541,0.8167,0.0199,0.3835,85664,5.3,25,4.3,1.7,0.1,0.932092922039062,2.066115702479339,0.23766816143497757,0.10831234256926951,0.19101123595505617,0.008264462809917356,,,,,,
Shasta County,06089011802,Census Tract 118.02; Shasta County; California,17.297812072892,11070.58718233,2746,1053,1004,0.4135,0.5199,0.4371,0.0221,0.4102,90472,9.9,22.8,6.2,1.5,0,0.9844078124149938,1.8842975206611572,0.4439461883408072,0.1561712846347607,0.16853932584269662,0,,106.75426999999915,,0.9643053999013884,,38.87628186452992
Shasta County,06089011803,Census Tract 118.03; Shasta County; California,34.635340528014,22166.592820485002,2590,1300,1130,0.4867,0.599,0.5369,0.0073,0.4396,63448,18.5,19,3.9,1.3,0.7,0.6903650508677439,1.5702479338842976,0.8295964125560538,0.0982367758186398,0.14606741573033707,0.05785123966942148,,,,,,
Shasta County,06089011900,Census Tract 119; Shasta County; California,25.502802740266,16321.775259215001,5052,1843,1831,0.2309,0.1729,0.6511,0.0146,0.2365,113911,4.6,24.8,3.5,0.2,0,1.2394429029976606,2.0495867768595044,0.20627802690582958,0.08816120906801007,0.02247191011235955,0,,,,,,
Shasta County,06089012000,Census Tract 120; Shasta County; California,4.18286111363,2677.0280793250004,5157,2384,2159,0.6481,0.5579,0.8729,0.0411,0.7205,40773,19.8,26.6,11.5,1,0.4,0.4436428921168598,2.1983471074380168,0.8878923766816144,0.2896725440806045,0.11235955056179775,0.03305785123966942,,,,,,
Shasta County,06089012101,Census Tract 121.01; Shasta County; California,2.175558900748,1392.35611877,5105,2065,2049,0.6253,0.6869,0.6519,0.0959,0.6177,65823,16.7,22.4,17.8,1.2,5.5,0.7162069528317284,1.8512396694214874,0.7488789237668161,0.44836272040302266,0.1348314606741573,0.4545454545454546,,,,,,
Shasta County,06089012102,Census Tract 121.02; Shasta County; California,4.056804988262,2596.352250505,2298,1249,1133,0.6717,0.5533,0.946,0.0225,0.7083,41641,15.7,25.2,5.8,0,0,0.45308742723464446,2.0826446280991737,0.7040358744394618,0.14609571788413098,0,0,,,,,,
Shasta County,06089012200,Census Tract 122; Shasta County; California,19.92776090387,12753.752526925,5637,2384,2178,0.274,0.3573,0.447,0.0883,0.2229,70921,14.7,16.7,12.2,0,0.4,0.7716772754474729,1.3801652892561984,0.6591928251121075,0.3073047858942065,0,0.03305785123966942,14678.590685951647,4732.328122571274,115.09232796357807,37.105378300077966,2603.9720925938705,839.5118187992326
Shasta County,06089012301,Census Tract 123.01; Shasta County; California,6.561101170462,4199.099991005,2618,1256,1020,0.8272,0.7179,0.9821,0.2421,0.7871,52500,11.3,25.1,34.7,8.4,17.4,0.5712420434143953,2.074380165289256,0.5067264573991032,0.8740554156171285,0.9438202247191011,1.4380165289256197,,,,,,
Shasta County,06089012302,Census Tract 123.02; Shasta County; California,36.551233092396,23392.762672290002,5597,2335,2147,0.4033,0.5317,0.2942,0.046,0.46,75079,4.4,13.4,10.7,1.3,5.8,0.816919645285893,1.1074380165289257,0.19730941704035876,0.26952141057934503,0.14606741573033707,0.4793388429752066,,,,,,
Shasta County,06089012303,Census Tract 123.03; Shasta County; California,28.544037846398,18268.163521645,3603,1478,1333,0.1424,0.0791,0.3572,0.023,0.3006,96789,2.8,21.2,8.1,0,0.6,1.0531418312387792,1.7520661157024793,0.12556053811659193,0.20403022670025187,0,0.049586776859504134,,,,,,
Shasta County,06089012400,Census Tract 124; Shasta County; California,610.536655121354,390743.01651833503,3364,1591,1280,0.3851,0.4385,0.3501,0.0122,0.53,97500,10.8,17.1,6.2,0.5,1.5,1.0608780806267342,1.413223140495868,0.484304932735426,0.1561712846347607,0.056179775280898875,0.12396694214876033,,,,,,
Shasta County,06089012500,Census Tract 125; Shasta County; California,469.81711942580597,300682.61572256504,1382,1151,670,0.4363,0.8277,0.3001,0.0176,0.1544,63826,26.1,7.5,7.3,0,0.6,0.6944779935803275,0.6198347107438017,1.1704035874439462,0.18387909319899243,0,0.049586776859504134,,,,,,
Shasta County,06089012603,Census Tract 126.03; Shasta County; California,309.39522338245797,198012.71859229502,4111,2572,1909,0.3344,0.4296,0.4153,0.0225,0.332,70301,7.5,11.1,6.3,0,0.4,0.7649311789347696,0.9173553719008264,0.3363228699551569,0.1586901763224181,0,0.03305785123966942,26.170749048370055,11520.998750531186,0.013216701045479408,5.818312496508235,6.366029931493568,2802.4808442060776
Shasta County,06089012604,Census Tract 126.04; Shasta County; California,278.166363888842,178026.271163455,2218,1064,858,0.2657,0.3389,0.3353,0.0261,0.3132,65889,8.2,14.3,8.4,0.5,1.5,0.7169250856863065,1.1818181818181819,0.3677130044843049,0.21158690176322417,0.056179775280898875,0.12396694214876033,,,,,,
Shasta County,06089012605,Census Tract 126.05; Shasta County; California,162.656072177532,104099.76823593001,1983,943,823,0.2659,0.4152,0.4138,0.0097,0.1828,89036,5.8,17.3,6.2,0.3,0.6,0.9687829824275067,1.4297520661157026,0.2600896860986547,0.1561712846347607,0.033707865168539325,0.049586776859504134,,,,,,
Shasta County,06089012606,Census Tract 126.06; Shasta County; California,741.033401753776,474260.83972724003,3407,1756,1358,0.6469,0.6433,0.5967,0.168,0.7597,61912,21.1,19.5,17.5,2.2,5.8,0.6736521407975627,1.6115702479338843,0.946188340807175,0.44080604534005036,0.24719101123595508,0.4793388429752066,,,,,,
Shasta County,06089012701,Census Tract 127.01; Shasta County; California,387.84033545154,248217.53342835003,4268,2196,1641,0.6514,0.5935,0.9076,0.0156,0.6422,56571,16.1,27.6,5.3,0.3,0.6,0.6155377835808715,2.2809917355371905,0.7219730941704037,0.13350125944584382,0.033707865168539325,0.049586776859504134,,,,,,
Shasta County,06089012702,Census Tract 127.02; Shasta County; California,498.79830311490997,319230.55226652505,2786,1719,1110,0.6739,0.6022,0.8281,0.0808,0.7622,70526,11.1,18.4,11.8,3.5,2.2,0.7673793591208313,1.5206611570247932,0.4977578475336323,0.2972292191435768,0.3932584269662921,0.18181818181818185,1941.4630676906904,101644.6318831964,0.6081695670750732,31.840508736248236,696.8639869672255,36484.07461708413
Sierra County,06091010000,Census Tract 100; Sierra County; California,953.167915499364,610026.7746851101,2916,2092,1135,0.4869,0.5581,0.4372,0.0116,0.5798,61108,12.6,13.9,11.4,0.8,2.6,0.6649039769327022,1.1487603305785126,0.5650224215246636,0.2871536523929471,0.0898876404494382,0.21487603305785125,,,,,,
Siskiyou County,06093000100,Census Tract 1; Siskiyou County; California,332.204213318232,212610.45561018,1065,535,329,0.9252,0.8043,0.9884,0.2632,0.9259,41378,33.8,25.3,41,8.6,14.4,0.450225776617159,2.090909090909091,1.515695067264574,1.0327455919395465,0.9662921348314606,1.1900826446280992,51876.0054163289,44657.309684046515,24.399555171192166,21.004286715760312,48709.864240684416,41931.7461822033
Siskiyou County,06093000200,Census Tract 2; Siskiyou County; California,501.952967652704,321249.53528296005,1908,769,661,0.8639,0.8458,0.906,0.3385,0.8257,41750,19,24.6,40,8.2,20.8,0.45427343452478103,2.0330578512396698,0.852017937219731,1.0075566750629723,0.9213483146067415,1.71900826446281,28635.237247499885,1565903.8844299966,8.91370542288183,487.441603005194,15007.985978773524,820704.3419444427
Siskiyou County,06093000300,Census Tract 3; Siskiyou County; California,549.39256093007,351610.840577425,4393,1999,1662,0.4888,0.5081,0.678,0.0501,0.4736,56645,14.8,21.1,10.4,1.8,1.9,0.6163429628420651,1.7438016528925622,0.6636771300448431,0.2619647355163728,0.20224719101123595,0.15702479338842976,,5058.455386710469,,1.438651714606789,,1151.4808528819642
