cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,co_mtrs,water_year,pounds_chloropicrin.x,intersection_acres,crops_acres,pounds_chloropicrin.y,intersection_fraction,pounds_chloropicrin_intersection
56725386055370,Active,No,Traditional,Elementary,Public,Rose Avenue Elementary,Oxnard,Ventura,220 South Driskill Street,Oxnard,CA,No,1,K-5,K-5,56S02N22W35,2018,27977.4,75.41870242297296,75.41870242297028,27977.4,1.0000000000000355,27977.400000000995
56725386055370,Active,No,Traditional,Elementary,Public,Rose Avenue Elementary,Oxnard,Ventura,220 South Driskill Street,Oxnard,CA,No,1,K-5,K-5,56S01N22W02,2018,50883.8874075,413.3936294899908,554.0077334213534,50883.8874075,0.7461874709528328,37968.91925685112
56725386055370,Active,No,Traditional,Elementary,Public,Rose Avenue Elementary,Oxnard,Ventura,220 South Driskill Street,Oxnard,CA,No,1,K-5,K-5,56S01N22W01,2018,61654.9939784,39.55761082389503,548.1001176261365,61654.9939784,0.07217223560400256,4449.778751572444
56725386100333,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lemonwood Elementary,Oxnard,Ventura,2001 San Mateo Place,Oxnard,CA,No,1,K-8,K-8,56S01N22W13,2018,21462.1230222,0.06417854476125293,436.223600024886,21462.1230222,1.4712304597365116e-4,3.157572912087288
56725386100333,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lemonwood Elementary,Oxnard,Ventura,2001 San Mateo Place,Oxnard,CA,No,1,K-8,K-8,56S01N22W12,2018,23986.3465216,170.20833108876715,556.2343317262679,23986.3465216,0.30600112467083296,7339.849012353922
56725386100333,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lemonwood Elementary,Oxnard,Ventura,2001 San Mateo Place,Oxnard,CA,No,1,K-8,K-8,56S01N22W11,2018,6164.8175507999995,180.01367304425057,180.01367304424943,6164.8175507999995,1.0000000000000062,6164.817550800038
56725386100333,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lemonwood Elementary,Oxnard,Ventura,2001 San Mateo Place,Oxnard,CA,No,1,K-8,K-8,56S01N22W14,2018,23964.477598,7.4406329358969465,170.11515469854135,23964.477598,0.04373880122016399,1048.1775220039951
56725386100333,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lemonwood Elementary,Oxnard,Ventura,2001 San Mateo Place,Oxnard,CA,No,1,K-8,K-8,56S01N22W02,2018,50883.8874075,428.70987873422456,554.0077334213534,50883.8874075,0.7738337443173688,39375.66911796914
56725386100333,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lemonwood Elementary,Oxnard,Ventura,2001 San Mateo Place,Oxnard,CA,No,1,K-8,K-8,56S01N22W01,2018,61654.9939784,74.03465787752356,548.1001176261365,61654.9939784,0.13507506292495122,8328.05219126987
56725386110738,Active,No,Traditional,Elementary,Public,Emilie Ritchen Elementary,Oxnard,Ventura,2200 Cabrillo Way,Oxnard,CA,No,1,K-5,K-5,56S02N22W30,2018,27798.9273124,50.88523401089864,423.0344310584025,27798.9273124,0.12028627051369638,3343.8292906899287
