cds_code,school,district,enroll_total,pounds_0.25,pounds_1
27659956026082,Chualar Elementary,Chualar Union,281,5.969032227929999,214.0545246179861
54719026054027,Earlimart Elementary,Earlimart Elementary,536,,212.82334978218245
58727690133751,Edward P. Duplex,Wheatland Union High,45,,198.97795349048266
58727695838305,Wheatland Union High,Wheatland Union High,1012,,198.97795349048266
54720906054324,Rockford Elementary,Rockford Elementary,323,2.0833750133610778,192.99349791784647
50711676052633,Bret Harte Elementary,Modesto City Elementary,834,,192.55988381341774
54722566054647,Mineral King Elementary,Visalia Unified,593,,190.19640200031026
54755316107650,Roosevelt Elementary,Dinuba Unified,619,,189.54733810371627
10621170133314,Virginia R. Boris Elementary,Clovis Unified,632,1.0253686753524753,188.5533684197325
51714156053300,Meridian Elementary,Meridian Elementary,71,,187.79292726442316
58727286115935,CORE Charter,Camptonville Elementary,470,,185.42917778715702
10621176005920,Temperance-Kutner Elementary,Clovis Unified,591,,184.92208058957337
43694846111785,Brownell Middle,Gilroy Unified,749,,183.00243781815024
54755316053987,Lincoln Elementary,Dinuba Unified,611,,182.4175630924051
39685026041800,Farmington Elementary,Escalon Unified,95,24.14958754471882,181.0412699842603
16639250118919,Sierra Pacific High,Hanford Joint Union High,1010,,172.02824337447748
57727026095368,Winters Middle,Winters Joint Unified,328,,171.995783942984
50757395037700,Turlock High,Turlock Unified,2512,,170.94139055909034
10624141030824,Community Day,Sanger Unified,28,,170.019696908093
50755720117689,Sentinel High,Waterford Unified,43,24.20789493728343,168.9359351356223
50755725030259,Waterford High,Waterford Unified,624,24.20789493728343,168.9359351356223
54753250106021,Freedom Elementary,Farmersville Unified,555,,168.03782212050106
39685856042055,Davis Elementary,Lodi Unified,351,,158.4785057995058
50710436112338,Samuel Vaughn Elementary,Ceres Unified,580,,147.7865433018372
54722560139105,Denton Elementary,Visalia Unified,546,,145.70001674124302
50712330121525,Roberts Ferry Charter School Academy,Roberts Ferry Union Elementary,46,,145.11512697679973
50712336053011,Roberts Ferry Union Elementary,Roberts Ferry Union Elementary,112,,145.11512697679973
39685936042311,French Camp Elementary,Manteca Unified,546,,144.92451095717968
54722566054563,Elbow Creek Elementary,Visalia Unified,488,24.42578075169419,143.5499999999994
54753256054084,J. E. Hester Elementary,Farmersville Unified,355,,143.2794024826503
50712900113795,Crossroads Elementary,Sylvan Union Elementary,736,,143.25379392610955
40687590125328,Central Coast New Tech High,Lucia Mar Unified,253,39.215651560300714,140.99999999999886
40687594030268,Nipomo High,Lucia Mar Unified,885,39.215651560300714,140.99999999999886
39685936120505,George Y. Komure Elementary,Manteca Unified,772,,140.42003938909937
11101161130103,William Finch,Glenn County Office of Education,148,8.007202857914866,139.37808639115138
11101166077184,Glenn County Special Education,Glenn County Office of Education,78,11.318616373904229,139.2115757308689
10624141036094,Sanger High,Sanger Unified,3579,,133.99014062649243
16639170110981,Hamilton Elementary,Hanford Elementary,409,,133.6422139871306
15638426010243,Karl F. Clemens Elementary,Wasco Union Elementary,586,,132.1294808704402
50711676110068,Evelyn Hanshaw Middle,Modesto City Elementary,746,,131.61697341723547
24656982430080,Irwin High (Continuation),Hilmar Unified,36,,130.91949033450146
24656982430106,Colony Basic Skills Alternative High,Hilmar Unified,2,,130.91949033450146
24656982432409,Hilmar High,Hilmar Unified,687,,130.91949033450146
24656986025464,Elim Elementary,Hilmar Unified,962,,130.91949033450146
24656986109458,Hilmar Middle,Hilmar Unified,517,,130.91949033450146
40687596043061,Nipomo Elementary,Lucia Mar Unified,364,0.07371813061829595,129.86273448423518
10621580108977,Fowler Academy Community Day (9-12),Fowler Unified,,,129.8182178789618
10621580126250,Fowler Academy Community Day,Fowler Unified,,,129.8182178789618
10621586006050,Marshall Elementary,Fowler Unified,446,,129.8182178789618
15634046009351,Cecil Avenue Math and Science Academy,Delano Union Elementary,566,,128.13198997204938
56725536055438,Las Posas Elementary,Pleasant Valley,432,,127.451017594881
10621581031954,Fowler Academy Continuation,Fowler Unified,18,,126.39892895804722
33672156032692,Longfellow Elementary,Riverside Unified,652,,125.68940431217233
54719020101303,Earlimart Community Day,Earlimart Elementary,,,123.58397265637787
54719026054035,Earlimart Middle,Earlimart Elementary,494,,123.58397265637787
10622571033729,Oasis Continuation High,Kingsburg Joint Union High,55,,122.81060094337715
06615986003495,James M. Burchfield Primary,Colusa Unified,456,,122.50878333302813
11626616007611,Willows Intermediate,Willows Unified,308,3.599571868089385,120.52449091533532
11743851190016,Glenn County ROP,Glenn County ROP,,3.599571868089385,120.52449091533532
42692606045702,Olga L. Reed Elementary,Orcutt Union Elementary,183,,119.15453575994201
39686766116115,San Joaquin Elementary,Stockton Unified,737,,118.92969489668448
56725536055412,Pleasant Valley School of Engineering and Arts,Pleasant Valley,542,,118.70824026299474
50712820105700,Mary Lou Dieterich Elementary,Stanislaus Union Elementary,557,,115.8140413483831
15638591536440,Wasco High,Wasco Union High,1765,,112.16864701935535
39686760100206,George W. Bush Elementary,Stockton Unified,814,14.294850480050055,109.48109351520408
50710436052468,Westport Elementary,Ceres Unified,390,,107.31340348488064
15638426010250,Palm Avenue Middle,Wasco Union Elementary,567,,106.74208708134177
50710760101493,Norman N. Glick Middle,Empire Union Elementary,617,,105.06264380906406
39686760115303,Valentine Peyton Elementary,Stockton Unified,832,0.2162974188027053,98.45434896106103
37771560137323,Vista Springs Charter,SBE - Vista Springs Charter,217,,97.15730919973757
35103553530037,San Benito County Opportunity,San Benito County Office of Education,26,,96.05265000797219
35675383530029,San Andreas Continuation High,San Benito High,68,,96.05265000797219
56725536055396,Camarillo Heights Elementary,Pleasant Valley,418,,94.76883932347086
56725386055347,Marina West Elementary,Oxnard,509,,93.99109980859312
50755720117770,Lucille Whitehead Intermediate,Waterford Unified,372,2.471244750071802,92.93700948312265
50755720118513,Richard M. Moon Primary,Waterford Unified,505,2.471244750071802,92.93700948312265
50711676107023,Alberta Martone Elementary,Modesto City Elementary,655,,90.76560858668428
56105610109900,Vista Real Charter High,Ventura County Office of Education,1341,,89.75847471902853
54720096054167,Monson-Sultana Elementary,Monson-Sultana Joint Union Elementary,447,,83.02130130962587
50712660133660,Mildred Perkins Elementary,Salida Union Elementary,370,,82.0187668065025
50105040129023,Stanislaus Alternative Charter,Stanislaus County Office of Education,646,,81.95949909434486
50712660120063,Independence Charter,Salida Union Elementary,30,,81.95949909434486
16101651630102,J. C. Montgomery,Kings County Office of Education,23,,79.16644773947525
11626611130038,Willows Community High,Willows Unified,24,,78.49794476643709
10739656006662,Houghton-Kearney Elementary,Central Unified,201,,76.60668167196985
24657892433605,Livingston High,Merced Union High,1206,,74.66922631194363
10622406006704,Lincoln Elementary,Kingsburg Elementary Charter,424,,73.12701568190572
50712826067250,Prescott Junior High,Stanislaus Union Elementary,758,,71.76514769598263
43695836109375,El Toro Health Science Academy,Morgan Hill Unified,441,,70.78841389015977
54722565435839,Sequoia High,Visalia Unified,422,,69.54576291558662
58727516056840,Wheatland Elementary,Wheatland,340,1.4565475763772449,69.40322946202838
10624146007132,Jackson Elementary,Sanger Unified,383,,68.40381693352394
11101160124909,Walden Academy,Glenn County Office of Education,163,,68.30323788174324
57726786066245,Ralph Waldo Emerson Junior High,Davis Joint Unified,494,,63.73873121936645
54720826114672,Richgrove Elementary,Richgrove Elementary,531,,62.098610234988556
54722566054720,Washington Elementary,Visalia Unified,265,,60.73837199969619
50710430123679,Cesar Chavez Junior High,Ceres Unified,640,,60.723958309984155
50710430110734,La Rosa Elementary,Ceres Unified,611,,60.603840472075284
10621176005847,Cole Elementary,Clovis Unified,669,8.873323971346387,59.39999999999989
10621660114553,University High,Fresno Unified,487,7.328020606060726,58.39340548468217
37684523730728,Rancho Buena Vista High,Vista Unified,2027,,54.921482169354064
50710430107128,Whitmore Charter School of Art & Technology,Ceres Unified,419,,53.19959126920975
50710430107136,Whitmore Charter High,Ceres Unified,112,,53.19959126920975
16101656069298,Kings County Special Education,Kings County Office of Education,303,,52.535419539291944
16639176010409,Lee Richmond Elementary,Hanford Elementary,412,,52.535419539291944
16639176112379,John F. Kennedy Junior High,Hanford Elementary,554,,52.535419539291944
11626611132851,Willows High,Willows Unified,474,,51.16556085586146
54722566116909,Charter Home School Academy,Visalia Unified,140,,50.45087387235933
50710436052443,Don Pedro Elementary,Ceres Unified,480,3.4433730285745847,49.5036752571233
43695836047914,Nordstrom Elementary,Morgan Hill Unified,578,,47.53565072436117
57726786110894,Patwin Elementary,Davis Joint Unified,386,,43.20865881675903
50710766111892,Alice N. Stroud Elementary,Empire Union Elementary,444,,41.66143700943939
50710506052492,Mountain View Middle,Chatom Union,186,1.8734791315367485,39.18488632100769
27661756026637,San Ardo Elementary,San Ardo Union Elementary,93,,39.144772072401345
50710430127613,Lucas Elementary,Ceres Unified,651,,38.807410102800134
15634046111355,Princeton Street Elementary,Delano Union Elementary,362,,37.35083801438981
10621586006027,Fremont Elementary,Fowler Unified,440,,31.669063251338727
54719856054134,Liberty Elementary,Liberty Elementary,749,,28.564500777402042
39686766115422,Rio Calaveras Elementary,Stockton Unified,808,,28.182460404279528
50711676052799,Robertson Road Elementary,Modesto City Elementary,336,,27.982250174598228
50711676105670,Harriette Kirschen Elementary,Modesto City Elementary,505,,27.982250174598228
43104390131748,Voices College-Bound Language Academy at Morgan Hill,Santa Clara County Office of Education,392,,27.551770506997475
06615986057152,George T. Egling Middle,Colusa Unified,555,,26.10492723883066
39686766042519,August Elementary,Stockton Unified,588,,25.933687432065895
11626616007603,Murdock Elementary,Willows Unified,591,,24.291862048564887
50755560118810,Mesa Verde Elementary,Riverbank Unified,470,2.4123331847639564,23.906874514667393
57726786056303,Robert E. Willett Elementary,Davis Joint Unified,482,,22.767144059535827
16639176010433,Roosevelt Elementary,Hanford Elementary,498,,17.104206169920634
50710430133827,Ceres Special Education,Ceres Unified,27,,16.06009727929479
50710435030200,Argus High (Continuation),Ceres Unified,182,,16.06009727929479
50710436052450,Walter White Elementary,Ceres Unified,390,,16.06009727929479
16638756010284,Parkview Middle,Armona Union Elementary,420,,15.08230395786969
06615980630012,Colusa Alternative High (Continuation),Colusa Unified,24,,14.531561074634201
33672156059158,University Heights Middle,Riverside Unified,796,,13.897808590635208
15638591530351,Wasco Independence High,Wasco Union High,134,,13.754567153570273
50710506052484,Chatom Elementary,Chatom Union,380,4.576299928103939,13.517766700000013
39685850122879,Walter J. Katnich Community Day,Lodi Unified,,0.24186549879836428,12.444689144507606
39685850132837,Henderson,Lodi Unified,27,0.24186549879836428,12.444689144507606
39685853930344,Independence,Lodi Unified,527,0.24186549879836428,12.444689144507606
39685850139261,Valley Robotics Academy,Lodi Unified,452,0.24186526845481282,12.444688760207084
50105040131235,John B Allard,Stanislaus County Office of Education,105,,11.029627863963926
56725386055271,Driffill Elementary,Oxnard,1039,,10.940660454112473
37735516037782,Jefferson Elementary,Carlsbad Unified,448,,10.470143850687995
06100660630111,S. William Abel Academy,Colusa County Office of Education,10,,10.184868504600844
57726786056295,Cesar Chavez Elementary,Davis Joint Unified,518,,9.864898246317964
52714726053466,Antelope Elementary,Antelope Elementary,474,0.6281451161400994,8.909518429374561
10621170123869,Roger S. Oraze Elementary,Clovis Unified,820,,8.297219443992445
50711755030135,Peter Johansen High,Modesto City High,1922,,8.245312870982492
50755565036850,Riverbank High,Riverbank Unified,746,,7.856559244727968
10621176005938,Weldon Elementary,Clovis Unified,575,,7.212779377913959
50710430109090,Sinclear Elementary,Ceres Unified,635,,7.092191278000827
