cds_code,school,district,enroll_total,pounds_0.25,pounds_1
39685933935111,Calla High,Manteca Unified,145,3066.138877031221,56636.29111991227
56725616055495,Rio del Valle Middle,Rio Elementary,709,,55730.65272104428
24658700111294,Winfield Elementary,Winton,451,3470.0196361056014,55288.50137975833
56725460136804,Oxnard Middle College High,Oxnard Union High,158,,54900.2113220524
20652430123620,Mountain Vista High,Madera Unified,158,5457.59212742523,54527.734932097585
20652430129544,Eastin Arcola,Madera Unified,211,5457.59212742523,54527.734932097585
50757396053193,Wakefield Elementary,Turlock Unified,695,,54488.70684390849
24656310126771,Bellevue Senior Elementary,Atwater Elementary,166,361.5356681557539,54262.192813308015
24656316025324,Bellevue Elementary,Atwater Elementary,697,361.5356681557539,54262.192813308015
27659616025985,Bardin Elementary,Alisal Union,626,13839.889576771931,54199.36515966085
50710506052492,Mountain View Middle,Chatom Union,186,5482.048228136479,54141.226703892695
39685776041990,Waterloo Elementary,Linden Unified,337,899.0062103432487,54055.717510940725
56725126055180,Tierra Vista Elementary,Ocean View,540,1490.1458191351412,53494.13777556606
56725386110738,Emilie Ritchen Elementary,Oxnard,491,,53434.23311845503
42691200139824,Bill Libbon Elementary,Santa Maria-Bonita,662,0.7381244510996557,53168.25988613719
56725610113977,Rio Vista Middle,Rio Elementary,611,,52962.057990090936
39685936042360,New Haven Elementary,Manteca Unified,489,6456.49920459765,52903.375376678385
42691200102863,Liberty Elementary,Santa Maria-Bonita,884,,52793.52223439517
24658706025837,Sybil N. Crookham Elementary,Winton,396,,52652.534677369695
27659616115232,Creekside Elementary,Alisal Union,571,,51792.267791047045
42691126045264,Benjamin Foxen Elementary,Blochman Union Elementary,177,6876.21191575856,51665.06296869712
44697994437901,Watsonville High,Pajaro Valley Unified,2396,164.9186089772713,51434.094304116676
44697996112841,Lakeview Middle,Pajaro Valley Unified,479,3457.6366053120614,51044.74325775135
10767786005748,American Union Elementary,Washington Unified,308,6859.2354115034495,50992.13691158539
24658706109425,Winton Middle,Winton,613,6198.761379419875,50582.97709404521
50755490116848,Valley Community Day,Hughson Unified,17,1758.6178069403059,50580.34607064171
50755495032651,Hughson High,Hughson Unified,803,1758.6178069403059,50580.34607064171
10623640126870,San Joaquin Valley High,Parlier Unified,51,1406.6608300507814,50432.25203915061
10623641034990,Parlier High,Parlier Unified,975,1406.6608300507814,50432.25203915061
10623646007033,Mathew J Brletic Elementary,Parlier Unified,412,1406.6608300507814,50432.25203915061
50755496052575,Hughson Elementary,Hughson Unified,537,528.0366477350282,49744.11408722703
27738252730125,North Monterey County Center for Independent Study,North Monterey County Unified,270,269.9073133375157,49645.50393546437
27738252730141,Central Bay High (Continuation),North Monterey County Unified,48,269.9073133375157,49645.50393546437
24658706025829,Frank Sparkes Elementary,Winton,414,4196.841331519533,49108.99846762506
54721736054399,Sundale Elementary,Sundale Union Elementary,793,4010.1683550579237,48031.97250362861
24657892433605,Livingston High,Merced Union High,1206,1782.6368355617483,47475.357649061116
24657892430601,Atwater High,Merced Union High,2012,2077.1864958498586,47015.99715238352
44697996049712,Hall District Elementary,Pajaro Valley Unified,496,5053.919772209939,46614.527154851596
20652430131086,Ripperdan Community Day,Madera Unified,35,3507.4248850667423,45806.195467028636
20652436024012,La Vina Elementary,Madera Unified,211,5278.164150218588,45515.81736793868
52715716053581,Vina Elementary,Los Molinos Unified,81,,44830.86355423072
39685850125369,Turner Academy at Tokay Colony,Lodi Unified,20,1575.2362987466115,44625.047090932865
50755490101030,Fox Road Elementary,Hughson Unified,259,0.5354759411933082,44611.40820057455
50755496052567,Emilie J. Ross Middle,Hughson Unified,430,0.5354759411933082,44611.40820057455
24753660105817,Harmony Elementary,Delhi Unified,531,1426.2157811944137,44558.525066633316
27660766026140,Lagunita Elementary,Lagunita Elementary,94,8198.698462057166,44197.86739769178
50712090112383,Paradise Charter,Paradise Elementary,109,3613.4533257386047,43391.83794785833
50712096052914,Paradise Elementary,Paradise Elementary,83,3613.4533257386047,43391.83794785833
50755495032669,Dickens (Billy Joe) High (Continuation),Hughson Unified,42,,42903.18353725433
10623646007041,John C Martinez Elementary,Parlier Unified,441,1017.1655499327954,42751.6882108861
44697996049803,T. S. MacQuiddy Elementary,Pajaro Valley Unified,494,5322.042887944213,42540.328425227366
