cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_chloropicrin_intersection
50757395036884,Active,No,Continuation School,High School,Public,Roselawn High,Turlock Unified,Stanislaus,312 South Roselawn,Turlock,CA,No,1,9-12,11-12,2330.428121142916
43694846047286,Active,No,Traditional,Elementary,Public,Luigi Aprea Elementary,Gilroy Unified,Santa Clara,9225 Calle del Rey,Gilroy,CA,No,1,K-5,K-5,2316.2893888856997
50757396053169,Active,No,Traditional,Elementary,Public,Cunningham Elementary,Turlock Unified,Stanislaus,324 West Linwood Avenue,Turlock,CA,No,1,K-6,K-6,2313.990126312184
24102496068498,Active,No,Special Education School,Elementary - High Combination,Public,Floyd A. Schelby,Merced County Office of Education,Merced,6738 North Sultana Drive,Livingston,CA,No,1,P-12,K-12,2261.419209810858
15635290110999,Active,No,Traditional,High School,Public,Frontier High,Kern High,Kern,6401 Allen Road,Bakersfield,CA,No,1,9-12,9-12,2243.951799455722
15635526009666,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lakeside,Lakeside Union,Kern,14535 Old River Road,Bakersfield,CA,No,1,K-8,K-8,2239.0586879981856
50710926052542,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Hart-Ransom Elementary,Hart-Ransom Union Elementary,Stanislaus,3930 Shoemake Avenue,Modesto,CA,No,1,K-8,K-8,2195.159468461185
50710680132662,Active,Yes,Traditional,Elementary,Public,Denair Elementary Charter Academy,Denair Unified,Stanislaus,3773 Madera Avenue,Denair,CA,Yes,2,K-5,K-5,2192.3331673205344
50710686052500,Active,No,Traditional,Elementary,Public,Denair Elementary,Denair Unified,Stanislaus,3773 Madera Avenue,Denair,CA,Yes,2,K-5,K-5,2192.3331673205344
50757390114561,Active,No,Traditional,Elementary,Public,Walnut Elementary Education Center,Turlock Unified,Stanislaus,4219 North Walnut Road,Turlock,CA,No,1,K-6,K-6,2117.0413492520406
57727025730049,Active,No,Continuation School,High School,Public,Wolfskill High,Winters Joint Unified,Yolo,200 Baker Street,Winters,CA,No,1,9-12,11-12,2100.3181608173886
10621666103840,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Edison Computech,Fresno Unified,Fresno,555 East Belgravia,Fresno,CA,No,1,7-8,7-8,2080.837665132646
27661592733178,Active,No,Traditional,High School,Public,North Salinas High,Salinas Union High,Monterey,55 Kip Drive,Salinas,CA,No,1,9-12,9-12,2041.614285881094
37735516099352,Active,No,Traditional,Elementary,Public,Kelly Elementary,Carlsbad Unified,San Diego,4885 Kelly Drive,Carlsbad,CA,No,1,K-5,K-5,2029.82817937722
10622650126292,Active,Yes,Traditional,High School,Public,Reedley Middle College High,Kings Canyon Joint Unified,Fresno,995 North Reed Avenue,Reedley,CA,No,1,9-12,9-12,2011.677324695167
24657486025514,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Livingston Middle,Livingston Union,Merced,101 F Street,Livingston,CA,No,1,6-8,6-8,2004.0298877165824
37735510127423,Active,No,Traditional,High School,Public,Sage Creek High,Carlsbad Unified,San Diego,3900 Bobcat Boulevard,Carlsbad,CA,No,1,9-12,9-12,2001.7301362983708
50757390108175,Active,No,Traditional,Elementary,Public,Sandra Tovar Medeiros Elementary,Turlock Unified,Stanislaus,651 West Springer Drive,Turlock,CA,No,1,K-6,K-6,1914.3631635254878
50712740121558,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Shiloh Charter,Shiloh Elementary,Stanislaus,6633 Paradise Road,Modesto,CA,Yes,2,K-8,K-8,1907.6242937990278
50712746053045,Active,No,Traditional,Elementary,Public,Shiloh Elementary,Shiloh Elementary,Stanislaus,6633 Paradise Road,Modesto,CA,Yes,2,K-8,K-2,1907.6242937990278
10624306007280,Active,No,Traditional,Elementary,Public,Indianola Elementary,Selma Unified,Fresno,11524 East Dinuba Avenue,Selma,CA,No,1,K-6,K-6,1892.7567095079785
39686506106322,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Weston Elementary,Ripon Unified,San Joaquin,1660 Stanley Drive,Ripon,CA,No,1,K-8,K-8,1879.6466263915006
50712660124768,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Great Valley Academy - Salida,Salida Union Elementary,Stanislaus,5901 Sisk Road,Modesto,CA,No,1,K-8,K-8,1858.625835720009
50757395030283,Active,No,Traditional,High School,Public,John H. Pitman High,Turlock Unified,Stanislaus,2525 West Christoffersen Parkway,Turlock,CA,No,1,9-12,9-12,1833.9431501381582
43694840100990,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Solorsano Middle,Gilroy Unified,Santa Clara,7121 Grenache Way,Gilroy,CA,No,1,6-8,6-8,1803.1564279948116
43694844334850,Active,No,Continuation School,High School,Public,Mt. Madonna High,Gilroy Unified,Santa Clara,8750 Hirasaki Court,Gilroy,CA,Yes,2,9-12,11-12,1798.0371555446209
43694846106991,Active,No,Traditional,Elementary,Public,Rod Kelley Elementary,Gilroy Unified,Santa Clara,8755 Kern Avenue,Gilroy,CA,Yes,2,K-5,K-5,1798.0371555446209
50755560113852,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Riverbank Language Academy,Riverbank Unified,Stanislaus,2400 Stanislaus Street,Riverbank,CA,No,1,K-8,K-8,1767.254537173274
15634120100529,Active,No,Traditional,High School,Public,Cesar E. Chavez High,Delano Joint Union High,Kern,800 Browning Road,Delano,CA,No,1,9-12,9-12,1752.2999999999956
10621666006076,Active,No,Traditional,Elementary,Public,Aynesworth Elementary,Fresno Unified,Fresno,4765 East Burns Avenue,Fresno,CA,No,1,K-6,K-6,1729.7709328119524
24657486109649,Active,No,Traditional,Elementary,Public,Yamato Colony Elementary,Livingston Union,Merced,800 North Main Street,Livingston,CA,No,1,K-5,K-5,1729.0845928869057
10767786006605,Active,No,Traditional,Elementary,Public,West Fresno Elementary,Washington Unified,Fresno,2910 South Ivy Street,Fresno,CA,No,1,K-5,K-5,1723.1910231779007
10622651033703,Active,No,Continuation School,Elementary - High Combination,Public,Kings Canyon Continuation,Kings Canyon Joint Unified,Fresno,10026 South Crawford Avenue,Dinuba,CA,No,1,9-12,2-12,1695.856284850707
10767786006613,Active,No,Traditional,Intermediate/Middle/Junior High,Public,West Fresno Middle,Washington Unified,Fresno,2888 South Ivy Street,Fresno,CA,No,1,6-8,6-8,1668.6927527856799
10621661031897,Active,No,Traditional,High School,Public,Edison High,Fresno Unified,Fresno,540 East California Avenue,Fresno,CA,No,1,9-12,9-12,1633.9371644389967
27102722730265,Active,No,County Community School,Intermediate/Middle/Junior High - High Combination,Public,Salinas Community,Monterey County Office of Education,Monterey,1420 Natividad Road,Salinas,CA,Yes,2,7-12,8-12,1612.412018655635
27102722730117,Active,No,Juvenile Court School,High School,Public,"Wellington M. Smith, Jr.",Monterey County Office of Education,Monterey,1420 Natividad Road,Salinas,CA,Yes,2,4-12,9-12,1612.4118285323755
10623646007058,Active,No,Traditional,Elementary,Public,Cesar E Chavez Elementary,Parlier Unified,Fresno,500 Tuolumne Street,Parlier,CA,No,1,K-6,K-6,1600.5844550759878
58727366056717,Active,No,Traditional,Elementary,Public,Linda Elementary,Marysville Joint Unified,Yuba,6180 Dunning Avenue,Marysville,CA,No,1,K-6,K-6,1589.8625147084217
57727025738505,Active,No,Traditional,Intermediate/Middle/Junior High - High Combination,Public,Winters High,Winters Joint Unified,Yolo,101 Grant Avenue,Winters,CA,No,1,9-12,7-12,1568.7159929717275
43694840114496,Active,No,Traditional,High School,Public,Dr. TJ Owens Gilroy Early College Academy,Gilroy Unified,Santa Clara,"5055 Santa Teresa Boulevard, PB17",Gilroy,CA,No,1,9-12,9-12,1553.6280199542211
15634040106575,Active,No,Traditional,Elementary,Public,Harvest Elementary,Delano Union Elementary,Kern,1320 Vassar Avenue,Delano,CA,Yes,2,K-5,K-5,1543.3773295279157
15634040112185,Active,No,Traditional,Intermediate/Middle/Junior High,Public,La Vina Middle,Delano Union Elementary,Kern,1331 Browning Road,Delano,CA,Yes,2,6-8,5-8,1543.3773295279157
10755981030535,Active,No,Traditional,Elementary - High Combination,Public,Caruthers High,Caruthers Unified,Fresno,2580 West Tahoe Avenue,Caruthers,CA,Yes,2,9-12,1-12,1519.7763460923227
10755981030543,Active,No,Continuation School,High School,Public,MARC High,Caruthers Unified,Fresno,2580 West Tahoe Avenue,Caruthers,CA,Yes,2,9-12,9-12,1519.7763460923227
50712666106934,Active,No,Traditional,Elementary,Public,Sisk Elementary,Salida Union Elementary,Stanislaus,5337 Sugar Creek Lane,Salida,CA,No,1,K-5,K-5,1469.400370039689
24753660105817,Active,No,Traditional,Elementary,Public,Harmony Elementary,Delhi Unified,Merced,16464 West August Avenue,Delhi,CA,No,1,K-6,K-6,1448.6681427994063
37768516037543,Active,No,Traditional,Elementary,Public,Bonsall Elementary,Bonsall Unified,San Diego,31555 Old River Road,Bonsall,CA,No,1,K-5,K-5,1437.7465774002799
50755725030317,Active,Yes,Traditional,Elementary - High Combination,Public,Connecting Waters Charter,Waterford Unified,Stanislaus,12420 Bentley Street,Waterford,CA,No,1,K-12,K-12,1428.8986535285233
56726526060370,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Balboa Middle,Ventura Unified,Ventura,247 Hill Road,Ventura,CA,No,1,6-8,6-8,1419.213074994942
10623640126870,Active,No,Continuation School,High School,Public,San Joaquin Valley High,Parlier Unified,Fresno,900 Newmark Avenue,Parlier,CA,Yes,3,9-12,9-12,1307.0682987366663
10623641034990,Active,No,Traditional,High School,Public,Parlier High,Parlier Unified,Fresno,603 Third Street,Parlier,CA,Yes,3,9-12,9-12,1307.0682987366663
10623646007033,Active,No,Traditional,Elementary,Public,Mathew J Brletic Elementary,Parlier Unified,Fresno,601 Third Street,Parlier,CA,Yes,3,K-6,K-6,1307.0682987366663
58105870113274,Active,No,County Community School,Intermediate/Middle/Junior High - High Combination,Public,Thomas E. Mathews Community,Yuba County Office of Education,Yuba,1127 E Street,Marysville,CA,No,1,7-12,7-12,1289.0723351954825
50711346052591,Active,No,Traditional,Elementary,Public,Keyes Elementary,Keyes Union,Stanislaus,4400 Maud Avenue,Keyes,CA,Yes,2,K-5,K-5,1257.5184397013743
50711346113286,Active,Yes,Traditional,Elementary - High Combination,Public,Keyes to Learning Charter,Keyes Union,Stanislaus,5709 Ninth Street,Keyes,CA,Yes,2,K-12,K-12,1257.5184397013743
57726786118905,Active,No,Traditional,Elementary,Public,Marguerite Montgomery Elementary,Davis Joint Unified,Yolo,1441 Danbury Drive,Davis,CA,No,1,K-6,K-6,1248.3578596874904
10101086085112,Active,Yes,Traditional,Elementary,Public,Edison-Bethune Charter Academy,Fresno County Office of Education,Fresno,1616 South Fruit Avenue,Fresno,CA,No,1,K-6,K-6,1242.4240395069169
39685933935103,Active,No,Traditional,High School,Public,Manteca High,Manteca Unified,San Joaquin,450 East Yosemite Avenue,Manteca,CA,No,1,9-12,9-12,1235.2796653318785
