cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_chloropicrin_intersection
37684520118430,Active,No,Alternative School of Choice,High School,Public,Mission Vista High,Vista Unified,San Diego,1306 Melrose Drive,Oceanside,CA,No,1,9-12,9-12,6741.304168284095
30736500116053,Active,No,Special Education School,Elementary,Public,Early Childhood Learning Center,Irvine Unified,Orange,1 Smoketree,Irvine,CA,No,1,P,K,6679.55324706919
15735446010011,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio Bravo-Greeley Elementary,Rio Bravo-Greeley Union Elementary,Kern,6601 Enos Lane,Bakersfield,CA,Yes,2,5-8,5-8,6474.95319953739
15735446117816,Active,No,Traditional,Elementary,Public,Rio Bravo Elementary,Rio Bravo-Greeley Union Elementary,Kern,22725 Elementary Lane,Bakersfield,CA,Yes,2,K-4,K-4,6474.95319953739
43695836118541,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Charter School of Morgan Hill,Morgan Hill Unified,Santa Clara,9530 Monterey Road,Morgan Hill,CA,No,1,K-8,K-8,5421.66087628041
56726526056212,Active,No,Traditional,Elementary,Public,Sheridan Way Elementary,Ventura Unified,Ventura,573 Sheridan Way,Ventura,CA,No,1,K-5,K-5,5320.138808148937
35752596049654,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Aromas,Aromas - San Juan Unified,Monterey,365 Vega Street,Aromas,CA,No,1,K-8,K-8,5075.088269308325
52715226053474,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Bend Elementary,Evergreen Union,Tehama,22270 Bend Ferry Road,Red Bluff,CA,No,1,K-8,K-8,4893.37151582743
40687590110486,Active,No,Traditional,Elementary,Public,Lange (Dorothea) Elementary,Lucia Mar Unified,San Luis Obispo,1661 Via Alta Mesa,Nipomo,CA,No,1,K-6,K-6,4714.035425318636
56725616055511,Active,No,Traditional,Elementary,Public,Rio Plaza Elementary,Rio Elementary,Ventura,600 Simon Way,Oxnard,CA,No,1,K-5,K-5,4712.078881429396
44697990105858,Active,No,Traditional,High School,Public,Pajaro Valley High,Pajaro Valley Unified,Santa Cruz,500 Harkins Slough Road,Watsonville,CA,No,1,9-12,9-12,4688.504191654407
33736766032254,Active,No,Traditional,Elementary,Public,Mecca Elementary,Coachella Valley Unified,Riverside,65250 Coahuilla Street,Mecca,CA,No,1,K-6,K-6,4126.8472378029055
39685936112197,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Joshua Cowell Elementary,Manteca Unified,San Joaquin,740 Pestana Avenue,Manteca,CA,No,1,K-8,K-8,3589.4505153176497
15637686010037,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Semitropic Elementary,Semitropic Elementary,Kern,25300 Highway 46,Wasco,CA,No,1,K-8,K-8,3218.837312108841
56725460131698,Active,No,Traditional,High School,Public,Rancho Campana High,Oxnard Union High,Ventura,4235 Mar Vista Drive,Camarillo,CA,No,1,9-12,9-12,3129.2478037761716
27738252730034,Active,No,Traditional,High School,Public,North Monterey County High,North Monterey County Unified,Monterey,13990 Castroville Boulevard,Castroville,CA,No,1,9-12,9-12,3121.1651303136496
56726526056055,Active,No,Traditional,Elementary,Public,Blanche Reynolds Elementary,Ventura Unified,Ventura,450 Valmore Avenue,Ventura,CA,Yes,2,K-5,K-5,3078.4896342577963
56726526115687,Active,No,Alternative School of Choice,Elementary - Intermediate/Middle/Junior High Combination,Public,Homestead (Alternative),Ventura Unified,Ventura,450 Valmore Avenue,Ventura,CA,Yes,2,K-8,1-8,3078.4896342577963
56726116055834,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Somis Elementary,Somis Union,Ventura,5268 North Street,Somis,CA,No,1,K-8,K-8,2956.178776459923
44697996049662,Active,No,Traditional,Elementary,Public,Bradley Elementary,Pajaro Valley Unified,Santa Cruz,321 Corralitos Road,Watsonville,CA,No,1,K-6,K-6,2928.182786749863
27661590136697,Active,No,Traditional,High School,Public,Rancho San Juan High,Salinas Union High,Monterey,1100 Rogge Road,Salinas,CA,No,1,9-12,9-12,2885.043174006299
56724706055123,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Mesa Elementary,Mesa Union Elementary,Ventura,3901 North Mesa School Road,Somis,CA,No,1,K-8,K-8,2846.51148483074
42691126045264,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Benjamin Foxen Elementary,Blochman Union Elementary,Santa Barbara,4949 Foxen Canyon Road,Santa Maria,CA,No,1,K-8,K-8,2838.5400683587236
56725465631619,Active,No,Traditional,High School,Public,Adolfo Camarillo High,Oxnard Union High,Ventura,4660 Mission Oaks Boulevard,Camarillo,CA,No,1,9-12,9-12,2698.644156521562
27661916026652,Active,No,Traditional,Elementary,Public,La Joya Elementary,Santa Rita Union Elementary,Monterey,55 Rogge Road,Salinas,CA,No,1,K-5,K-5,2565.1701804915497
27661592730109,Active,No,Traditional,High School,Public,Alisal High,Salinas Union High,Monterey,777 Williams Road,Salinas,CA,No,1,9-12,9-12,2447.9486456476097
27661916120224,Active,No,Traditional,Elementary,Public,McKinnon,Santa Rita Union Elementary,Monterey,2100 McKinnon,Salinas,CA,No,1,K-5,K-5,2431.038786054857
44697996049639,Active,No,Traditional,Elementary,Public,Amesti Elementary,Pajaro Valley Unified,Santa Cruz,25 Amesti Road,Watsonville,CA,No,1,K-5,K-5,2358.217340525044
56725610112631,Active,No,Traditional,Elementary,Public,Rio Del Mar,Rio Elementary,Ventura,3150 Thames River,Oxnard,CA,No,1,K-5,K-5,2273.444654683251
39686506109284,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Colony Oak Elementary,Ripon Unified,San Joaquin,22241 South Murphy Road,Ripon,CA,No,1,K-8,K-8,2158.9414146778495
27661426026587,Active,No,Traditional,Elementary,Public,Monterey Park Elementary,Salinas City Elementary,Monterey,410 San Miguel Avenue,Salinas,CA,No,1,K-6,K-6,2032.7042987225002
39685933935111,Active,No,Continuation School,High School,Public,Calla High,Manteca Unified,San Joaquin,130 South Austin Road,Manteca,CA,No,1,9-12,11-12,1910.3679483874473
27738256026397,Active,No,Traditional,Elementary,Public,Castroville Elementary,North Monterey County Unified,Monterey,11161 Merritt Street,Castroville,CA,No,1,K-6,K-6,1880.5337898702262
56724476054969,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Briggs Elementary,Briggs Elementary,Ventura,14438 West Telegraph Road,Santa Paula,CA,No,1,5-8,5-8,1747.5135990989086
27661910107391,Active,No,Traditional,Elementary,Public,New Republic Elementary,Santa Rita Union Elementary,Monterey,636 Arcadia Way,Salinas,CA,No,1,K-5,K-5,1739.694305032599
