cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_13d_intersection
15635291530021,Active,No,Continuation School,High School,Public,Central Valley High (Continuation),Kern High,Kern,526 Mannel Avenue,Shafter,CA,Yes,2,9-12,11-12,7431.401250000046
15635291535087,Active,No,Traditional,High School,Public,Shafter High,Kern High,Kern,526 Mannel Avenue,Shafter,CA,Yes,2,9-12,9-12,7431.401250000046
27661592730166,Active,No,Traditional,High School,Public,Everett Alvarez High,Salinas Union High,Monterey,1900 Independence Boulevard,Salinas,CA,No,1,9-12,9-12,7040.738956554173
50710430129106,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Patricia Kay Beaver Elementary,Ceres Unified,Stanislaus,4927 Central Avenue,Ceres,CA,No,1,K-8,K-8,6878.23213832349
42691126045264,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Benjamin Foxen Elementary,Blochman Union Elementary,Santa Barbara,4949 Foxen Canyon Road,Santa Maria,CA,No,1,K-8,K-8,6876.21191575856
10767786005748,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,American Union Elementary,Washington Unified,Fresno,2801 West Adams Avenue,Fresno,CA,No,1,K-8,K-8,6859.2354115034495
51714640113134,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Riverbend Elementary,Yuba City Unified,Sutter,301 Stewart Road,Yuba City,CA,No,1,K-8,K-8,6751.156980803947
39685770118307,Active,No,Continuation School,High School,Public,Pride Continuation,Linden Unified,San Joaquin,100 North Jack Tone Road,Stockton,CA,No,1,9-12,10-12,6737.924783756121
50757395036884,Active,No,Continuation School,High School,Public,Roselawn High,Turlock Unified,Stanislaus,312 South Roselawn,Turlock,CA,No,1,9-12,11-12,6589.044063851143
24753660131862,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Delhi Middle,Delhi Unified,Merced,16881 West Schendel Avenue,Delhi,CA,Yes,2,7-8,7-8,6496.220759365174
24753662430114,Active,No,Traditional,High School,Public,Delhi High,Delhi Unified,Merced,16881 West Schendel Avenue,Delhi,CA,Yes,2,9-12,9-12,6496.220759365174
39685936042360,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,New Haven Elementary,Manteca Unified,San Joaquin,14600 South Austin Road,Manteca,CA,No,1,K-8,K-8,6456.49920459765
44697996049753,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Pajaro Middle,Pajaro Valley Unified,Monterey,250 Salinas Road,Watsonville,CA,No,1,6-8,6-8,6363.460023736054
24657892430205,Active,No,Traditional,High School,Public,Buhach Colony High,Merced Union High,Merced,1800 Buhach Road,Atwater,CA,No,1,9-12,9-12,6310.56077775945
42693100102285,Active,No,Traditional,High School,Public,Pioneer Valley High,Santa Maria Joint Union High,Santa Barbara,675 Panther Drive,Santa Maria,CA,No,1,9-12,9-12,6228.407035853851
50757396053169,Active,No,Traditional,Elementary,Public,Cunningham Elementary,Turlock Unified,Stanislaus,324 West Linwood Avenue,Turlock,CA,No,1,K-6,K-6,6211.085692790205
24658706109425,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Winton Middle,Winton,Merced,6300 North Cypress Avenue,Winton,CA,No,1,6-8,6-8,6198.761379419875
50710436052468,Active,No,Traditional,Elementary,Public,Westport Elementary,Ceres Unified,Stanislaus,5218 South Carpenter,Modesto,CA,No,1,K-6,K-6,6112.363258854692
50710506052484,Active,No,Traditional,Elementary,Public,Chatom Elementary,Chatom Union,Stanislaus,7221 Clayton Road,Turlock,CA,No,1,K-5,K-5,6019.546779054156
15636106009732,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Maple Elementary,Maple Elementary,Kern,29161 Fresno Avenue,Shafter,CA,No,1,K-8,K-8,5902.596832027371
44697994437794,Active,No,Continuation School,High School,Public,Renaissance High Continuation,Pajaro Valley Unified,Santa Cruz,11 Spring Valley Road,La Selva Beach,CA,No,1,9-12,10-12,5883.101902876474
24736196103766,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Gustine Middle,Gustine Unified,Merced,28075 Sullivan Road,Gustine,CA,No,1,6-8,6-8,5862.11845249159
51714230132977,Active,Yes,Traditional,Elementary - High Combination,Public,Sutter Peak Charter Academy,Nuestro Elementary,Sutter,3934 Broadway Road,Live Oak,CA,Yes,2,K-12,K-12,5590.02982373789
51714236053318,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Nuestro Elementary,Nuestro Elementary,Sutter,3934 Broadway Road,Live Oak,CA,Yes,2,K-8,K-8,5590.02982373789
50710506052492,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Mountain View Middle,Chatom Union,Stanislaus,10001 Crows Landing Road,Turlock,CA,No,1,6-8,6-8,5482.048228136479
20652430123620,Active,No,Continuation School,High School,Public,Mountain Vista High,Madera Unified,Madera,1901 Clinton Avenue,Madera,CA,Yes,2,10-12,9-12,5457.59212742523
20652430129544,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Eastin Arcola,Madera Unified,Madera,29551 Avenue 8,Madera,CA,Yes,2,K-8,K-8,5457.59212742523
44697996049803,Active,No,Traditional,Elementary,Public,T. S. MacQuiddy Elementary,Pajaro Valley Unified,Santa Cruz,330 Martinelli Street,Watsonville,CA,No,1,K-5,K-5,5322.042887944213
10623806007074,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Raisin City Elementary,Raisin City Elementary,Fresno,6425 West Bowles Avenue,Raisin City,CA,No,1,K-8,K-8,5284.763215104581
20652436024012,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,La Vina Elementary,Madera Unified,Madera,8594 Road 23,Madera,CA,No,1,K-8,K-8,5278.164150218588
24656982430080,Active,No,Continuation School,High School,Public,Irwin High (Continuation),Hilmar Unified,Merced,20384 Geer Avenue,Hilmar,CA,Yes,5,9-12,10-12,5117.274520131891
24656982430106,Active,No,Alternative School of Choice,High School,Public,Colony Basic Skills Alternative High,Hilmar Unified,Merced,20384 Geer Avenue,Hilmar,CA,Yes,5,9-12,11-12,5117.274520131891
24656982432409,Active,No,Traditional,High School,Public,Hilmar High,Hilmar Unified,Merced,7807 North Lander Avenue,Hilmar,CA,Yes,5,9-12,9-12,5117.274520131891
24656986025464,Active,No,Traditional,Elementary,Public,Elim Elementary,Hilmar Unified,Merced,7677 North Lander Avenue,Hilmar,CA,Yes,5,K-5,K-5,5117.274520131891
24656986109458,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Hilmar Middle,Hilmar Unified,Merced,7528 North Scholar Way,Hilmar,CA,Yes,5,6-8,6-8,5117.274520131891
44697996049712,Active,No,Traditional,Elementary,Public,Hall District Elementary,Pajaro Valley Unified,Monterey,300 Sill Road,Watsonville,CA,No,1,K-5,K-5,5053.919772209939
42691206045975,Active,No,Traditional,Elementary,Public,Arellanes (Don Juan Bautista) Elementary,Santa Maria-Bonita,Santa Barbara,1890 Sandalwood Drive,Santa Maria,CA,Yes,2,K-6,K-6,4861.1504720279045
42691206119820,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Arellanes Junior High,Santa Maria-Bonita,Santa Barbara,1890 Sandalwood Drive,Santa Maria,CA,Yes,2,7-8,7-8,4861.1504720279045
10622656006837,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Riverview Elementary,Kings Canyon Joint Unified,Fresno,8662 South Lac Jac Avenue,Parlier,CA,No,1,K-8,K-8,4841.022940650548
39685026041834,Active,No,Traditional,Elementary,Public,Van Allen Elementary,Escalon Unified,San Joaquin,21051 East Highway 120,Escalon,CA,No,1,K-5,K-5,4719.690032396141
10624306007322,Active,No,Traditional,Elementary,Public,Terry Elementary,Selma Unified,Fresno,12906 South Fowler Avenue,Selma,CA,No,1,K-6,K-6,4668.537699524204
54722490116368,Active,No,Traditional,High School,Public,Mission Oak High,Tulare Joint Union High,Tulare,3442 East Bardsley Avenue,Tulare,CA,No,1,9-12,9-12,4601.518523214324
